Id,text,span,counter_narrative,label
1029,Critics argue homosexual relationships violate scripture and should not be accepted.,homosexual relationships violate scripture,"Interpretations of scripture vary, and many faith communities affirm same-sex love.",Transphobia
1030,Religious voices claim transgender selfhood dishonors divine plan and holy teachings.,transgender selfhood dishonors divine plan,Many people of faith believe authenticity in identity honors creation.,Transphobia
1031,Some accuse transgender women bothering passengers in transit of being a common issue.,transgender women bothering passengers in transit,"Harassment claims should be addressed individually, not used to target a group.",Transphobia
1032,They allege that aggressive transgender individuals soliciting forcefully are taking over public areas.,aggressive transgender individuals soliciting forcefully,"Public behavior should be judged by actions, not by a person’s gender identity.",Transphobia
1033,Opponents allege that queer groups coercing travelers is a growing public safety issue.,queer groups coercing travelers,"Safety concerns should be addressed based on evidence, not unfounded stereotypes.",Transphobia
1034,Critics claim transgender gatherings intimidate commuters and create unease in public spaces.,transgender gatherings intimidate commuters,"Public gatherings should be judged on behavior, not on the identities of those attending.",Transphobia
1035,Some say transgender individuals act discourteously toward strangers without cause.,transgender individuals act discourteously,Courtesy is an individual choice and not determined by gender identity.,Transphobia
1036,Opponents warn that approving incest in near future is the next step after LGBT rights.,approving incest in near future,Equating LGBT rights to harmful acts is false and undermines genuine human rights discussions.,Transphobia
1037,Critics fear that child exploitation legalized following LGBT rights is inevitable.,child exploitation legalized following LGBT rights,"LGBT equality has nothing to do with illegal or abusive acts, which remain unacceptable.",Transphobia
1038,Some believe modern culture turns liberty equated to vice into a social norm.,liberty equated to vice,True liberty includes the right to live authentically without harming others.,Transphobia
1039,Opponents argue same-sex equality enabling exploitation puts communities at risk.,same-sex equality enabling exploitation,"Equality strengthens communities by promoting fairness, not exploitation.",Transphobia
1040,They claim acceptance of forbidden acts approaching is being pushed by progressive laws.,acceptance of forbidden acts approaching,Protecting human rights does not mean endorsing harmful or illegal behavior.,Transphobia
1041,Some say transit officers lack judgment in handling LGBT-related incidents.,transit officers lack judgment,"Public safety decisions should be based on fairness and law, not prejudice.",Transphobia
1042,Critics argue government officials act foolishly by supporting LGBT-friendly policies.,government officials act foolishly,Supporting equality is a sign of progress and commitment to justice.,Transphobia
1043,They claim safety personnel are incompetent for allowing pride parades to proceed.,safety personnel are incompetent,Pride events are peaceful celebrations that deserve protection like any other gathering.,Transphobia
